时间,数值
2025-07-27 15:14:20.141,2800.0
2025-07-27 15:14:20.143,3160.0
2025-07-27 15:14:20.144,3265.0
2025-07-27 15:14:20.145,2955.0
2025-07-27 15:14:20.146,3035.0
2025-07-27 15:14:20.166,3055.0
2025-07-27 15:14:20.167,2790.0
2025-07-27 15:14:20.168,2815.0
2025-07-27 15:14:20.168,3030.0
2025-07-27 15:14:20.169,3125.0
2025-07-27 15:14:20.200,2885.0
2025-07-27 15:14:20.201,2910.0
2025-07-27 15:14:20.202,3050.0
2025-07-27 15:14:20.203,2995.0
2025-07-27 15:14:20.204,2850.0
2025-07-27 15:14:20.204,2765.0
2025-07-27 15:14:20.234,3020.0
2025-07-27 15:14:20.236,3040.0
2025-07-27 15:14:20.237,2835.0
2025-07-27 15:14:20.237,3000.0
2025-07-27 15:14:20.238,2960.0
2025-07-27 15:14:20.267,3035.0
2025-07-27 15:14:20.268,2760.0
2025-07-27 15:14:20.269,2785.0
2025-07-27 15:14:20.271,3030.0
2025-07-27 15:14:20.272,3140.0
2025-07-27 15:14:20.357,2910.0
2025-07-27 15:14:20.357,2925.0
2025-07-27 15:14:20.358,3025.0
2025-07-27 15:14:20.360,2920.0
2025-07-27 15:14:20.360,2800.0
2025-07-27 15:14:20.361,2735.0
2025-07-27 15:14:20.362,3125.0
2025-07-27 15:14:20.363,3110.0
2025-07-27 15:14:20.363,2895.0
2025-07-27 15:14:20.364,3050.0
2025-07-27 15:14:20.365,2990.0
2025-07-27 15:14:20.369,3035.0
2025-07-27 15:14:20.371,2800.0
2025-07-27 15:14:20.372,2900.0
2025-07-27 15:14:20.372,3090.0
2025-07-27 15:14:20.373,3075.0
2025-07-27 15:14:20.404,2860.0
2025-07-27 15:14:20.405,2915.0
2025-07-27 15:14:20.406,2985.0
2025-07-27 15:14:20.407,2915.0
2025-07-27 15:14:20.408,2790.0
2025-07-27 15:14:20.409,2710.0
2025-07-27 15:14:20.436,3100.0
2025-07-27 15:14:20.438,3195.0
2025-07-27 15:14:20.439,2975.0
2025-07-27 15:14:20.440,3100.0
2025-07-27 15:14:20.440,3000.0
2025-07-27 15:14:20.471,2790.0
2025-07-27 15:14:20.472,2785.0
2025-07-27 15:14:20.473,3060.0
2025-07-27 15:14:20.474,3170.0
2025-07-27 15:14:20.475,2875.0
2025-07-27 15:14:20.505,2960.0
2025-07-27 15:14:20.507,3075.0
2025-07-27 15:14:20.507,2995.0
2025-07-27 15:14:20.508,2800.0
2025-07-27 15:14:20.509,2930.0
2025-07-27 15:14:20.510,3090.0
2025-07-27 15:14:20.539,3010.0
2025-07-27 15:14:20.540,2850.0
2025-07-27 15:14:20.541,3035.0
2025-07-27 15:14:20.542,3010.0
2025-07-27 15:14:20.543,2925.0
2025-07-27 15:14:20.572,2750.0
2025-07-27 15:14:20.573,2995.0
2025-07-27 15:14:20.575,3055.0
2025-07-27 15:14:20.576,3180.0
2025-07-27 15:14:20.577,2900.0
2025-07-27 15:14:20.607,2985.0
2025-07-27 15:14:20.608,3040.0
2025-07-27 15:14:20.610,2965.0
2025-07-27 15:14:20.611,2790.0
2025-07-27 15:14:20.611,2970.0
2025-07-27 15:14:20.612,3065.0
2025-07-27 15:14:20.640,2990.0
2025-07-27 15:14:20.641,2850.0
2025-07-27 15:14:20.642,3005.0
2025-07-27 15:14:20.643,3025.0
2025-07-27 15:14:20.643,2905.0
2025-07-27 15:14:20.674,2735.0
2025-07-27 15:14:20.675,3080.0
2025-07-27 15:14:20.676,3070.0
2025-07-27 15:14:20.676,3110.0
2025-07-27 15:14:20.677,2815.0
2025-07-27 15:14:20.708,2930.0
2025-07-27 15:14:20.709,2950.0
2025-07-27 15:14:20.710,3005.0
2025-07-27 15:14:20.710,2810.0
2025-07-27 15:14:20.711,2940.0
2025-07-27 15:14:20.711,3125.0
2025-07-27 15:14:20.742,2995.0
2025-07-27 15:14:20.743,2855.0
2025-07-27 15:14:20.744,3010.0
2025-07-27 15:14:20.744,2985.0
2025-07-27 15:14:20.745,2915.0
2025-07-27 15:14:20.776,2735.0
2025-07-27 15:14:20.777,2760.0
2025-07-27 15:14:20.778,3040.0
2025-07-27 15:14:20.778,3145.0
2025-07-27 15:14:20.779,2870.0
2025-07-27 15:14:20.858,2960.0
2025-07-27 15:14:20.859,2975.0
2025-07-27 15:14:20.859,3045.0
2025-07-27 15:14:20.860,2865.0
2025-07-27 15:14:20.861,2935.0
2025-07-27 15:14:20.861,3035.0
2025-07-27 15:14:20.862,2935.0
2025-07-27 15:14:20.862,2800.0
2025-07-27 15:14:20.864,2720.0
2025-07-27 15:14:20.864,3065.0
2025-07-27 15:14:20.865,3095.0
2025-07-27 15:14:20.877,2875.0
2025-07-27 15:14:20.878,3040.0
2025-07-27 15:14:20.880,2990.0
2025-07-27 15:14:20.881,3010.0
2025-07-27 15:14:20.881,2780.0
2025-07-27 15:14:20.911,2810.0
2025-07-27 15:14:20.913,3020.0
2025-07-27 15:14:20.913,3130.0
2025-07-27 15:14:20.914,2905.0
2025-07-27 15:14:20.915,2955.0
2025-07-27 15:14:20.915,3035.0
2025-07-27 15:14:20.945,2950.0
2025-07-27 15:14:20.946,2820.0
2025-07-27 15:14:20.947,2725.0
2025-07-27 15:14:20.947,3045.0
2025-07-27 15:14:20.948,2995.0
2025-07-27 15:14:20.978,2795.0
2025-07-27 15:14:20.979,2830.0
2025-07-27 15:14:20.980,3050.0
2025-07-27 15:14:20.981,3150.0
2025-07-27 15:14:20.981,2845.0
2025-07-27 15:14:21.013,2925.0
2025-07-27 15:14:21.014,2900.0
2025-07-27 15:14:21.015,2955.0
2025-07-27 15:14:21.015,2860.0
2025-07-27 15:14:21.016,2875.0
2025-07-27 15:14:21.016,3055.0
2025-07-27 15:14:21.046,2995.0
2025-07-27 15:14:21.047,2830.0
2025-07-27 15:14:21.049,2750.0
2025-07-27 15:14:21.049,3055.0
2025-07-27 15:14:21.050,3035.0
2025-07-27 15:14:21.081,2820.0
2025-07-27 15:14:21.081,2975.0
2025-07-27 15:14:21.082,2995.0
2025-07-27 15:14:21.083,3160.0
2025-07-27 15:14:21.084,2820.0
2025-07-27 15:14:21.115,2955.0
2025-07-27 15:14:21.116,2970.0
2025-07-27 15:14:21.117,2990.0
2025-07-27 15:14:21.117,2810.0
2025-07-27 15:14:21.118,2835.0
2025-07-27 15:14:21.118,3125.0
2025-07-27 15:14:21.148,3065.0
2025-07-27 15:14:21.149,2885.0
2025-07-27 15:14:21.150,3015.0
2025-07-27 15:14:21.151,2990.0
2025-07-27 15:14:21.151,2870.0
2025-07-27 15:14:21.182,2710.0
2025-07-27 15:14:21.183,2835.0
2025-07-27 15:14:21.184,3145.0
2025-07-27 15:14:21.185,3215.0
2025-07-27 15:14:21.186,2875.0
2025-07-27 15:14:21.216,2955.0
2025-07-27 15:14:21.217,3010.0
2025-07-27 15:14:21.218,2935.0
2025-07-27 15:14:21.218,2790.0
2025-07-27 15:14:21.219,2775.0
2025-07-27 15:14:21.220,3120.0
2025-07-27 15:14:21.250,3090.0
2025-07-27 15:14:21.251,2925.0
2025-07-27 15:14:21.252,3025.0
2025-07-27 15:14:21.252,2960.0
2025-07-27 15:14:21.253,2860.0
2025-07-27 15:14:21.284,2720.0
2025-07-27 15:14:21.285,2835.0
2025-07-27 15:14:21.286,3060.0
2025-07-27 15:14:21.286,3120.0
2025-07-27 15:14:21.286,2825.0
2025-07-27 15:14:21.362,2915.0
2025-07-27 15:14:21.362,2890.0
2025-07-27 15:14:21.363,2940.0
2025-07-27 15:14:21.363,2845.0
2025-07-27 15:14:21.364,2875.0
2025-07-27 15:14:21.364,3050.0
2025-07-27 15:14:21.365,2960.0
2025-07-27 15:14:21.366,2860.0
2025-07-27 15:14:21.366,2760.0
2025-07-27 15:14:21.367,3050.0
2025-07-27 15:14:21.367,3045.0
2025-07-27 15:14:21.385,2825.0
2025-07-27 15:14:21.385,2810.0
2025-07-27 15:14:21.387,2995.0
2025-07-27 15:14:21.387,3150.0
2025-07-27 15:14:21.388,2840.0
2025-07-27 15:14:21.419,2925.0
2025-07-27 15:14:21.420,2925.0
2025-07-27 15:14:21.421,3005.0
2025-07-27 15:14:21.423,2835.0
2025-07-27 15:14:21.423,2850.0
2025-07-27 15:14:21.424,3105.0
2025-07-27 15:14:21.453,3005.0
2025-07-27 15:14:21.454,2895.0
2025-07-27 15:14:21.455,2785.0
2025-07-27 15:14:21.456,3040.0
2025-07-27 15:14:21.456,3020.0
2025-07-27 15:14:21.487,2820.0
2025-07-27 15:14:21.489,2975.0
2025-07-27 15:14:21.490,2935.0
2025-07-27 15:14:21.490,2985.0
2025-07-27 15:14:21.491,2750.0
2025-07-27 15:14:21.520,2810.0
2025-07-27 15:14:21.522,3055.0
2025-07-27 15:14:21.522,3150.0
2025-07-27 15:14:21.523,2920.0
2025-07-27 15:14:21.524,2940.0
2025-07-27 15:14:21.524,3020.0
2025-07-27 15:14:21.555,2905.0
2025-07-27 15:14:21.557,2820.0
2025-07-27 15:14:21.557,2735.0
2025-07-27 15:14:21.558,3035.0
2025-07-27 15:14:21.558,3050.0
2025-07-27 15:14:21.589,2825.0
2025-07-27 15:14:21.590,2805.0
2025-07-27 15:14:21.591,3035.0
2025-07-27 15:14:21.592,3130.0
2025-07-27 15:14:21.592,2845.0
2025-07-27 15:14:21.623,2820.0
2025-07-27 15:14:21.624,2920.0
2025-07-27 15:14:21.625,3020.0
2025-07-27 15:14:21.626,2815.0
2025-07-27 15:14:21.626,2800.0
2025-07-27 15:14:21.627,3015.0
2025-07-27 15:14:21.656,2995.0
2025-07-27 15:14:21.657,2925.0
2025-07-27 15:14:21.657,2755.0
2025-07-27 15:14:21.658,2965.0
2025-07-27 15:14:21.659,2990.0
2025-07-27 15:14:21.690,3035.0
2025-07-27 15:14:21.692,2765.0
2025-07-27 15:14:21.692,2900.0
2025-07-27 15:14:21.693,2960.0
2025-07-27 15:14:21.693,3045.0
2025-07-27 15:14:21.724,2835.0
2025-07-27 15:14:21.725,2875.0
2025-07-27 15:14:21.726,3030.0
2025-07-27 15:14:21.726,2935.0
2025-07-27 15:14:21.727,2810.0
2025-07-27 15:14:21.728,2730.0
2025-07-27 15:14:21.757,3115.0
2025-07-27 15:14:21.759,3055.0
2025-07-27 15:14:21.760,2835.0
2025-07-27 15:14:21.760,3020.0
2025-07-27 15:14:21.760,2955.0
2025-07-27 15:14:21.791,2970.0
2025-07-27 15:14:21.792,2720.0
2025-07-27 15:14:21.793,2790.0
2025-07-27 15:14:21.794,3030.0
2025-07-27 15:14:21.795,3130.0
2025-07-27 15:14:21.853,2895.0
2025-07-27 15:14:21.853,2870.0
2025-07-27 15:14:21.854,3045.0
2025-07-27 15:14:21.854,2985.0
2025-07-27 15:14:21.855,2850.0
2025-07-27 15:14:21.855,2755.0
2025-07-27 15:14:21.860,3055.0
2025-07-27 15:14:21.861,3025.0
2025-07-27 15:14:21.862,2800.0
2025-07-27 15:14:21.863,2795.0
2025-07-27 15:14:21.863,3015.0
2025-07-27 15:14:21.893,3160.0
2025-07-27 15:14:21.894,2850.0
2025-07-27 15:14:21.896,2950.0
2025-07-27 15:14:21.897,2930.0
2025-07-27 15:14:21.898,2930.0
2025-07-27 15:14:21.928,2785.0
2025-07-27 15:14:21.929,2820.0
2025-07-27 15:14:21.930,3115.0
2025-07-27 15:14:21.931,3030.0
2025-07-27 15:14:21.931,2865.0
2025-07-27 15:14:21.932,2735.0
2025-07-27 15:14:21.961,2990.0
2025-07-27 15:14:21.962,3010.0
2025-07-27 15:14:21.963,2810.0
2025-07-27 15:14:21.964,2810.0
2025-07-27 15:14:21.964,3075.0
2025-07-27 15:14:21.995,3220.0
2025-07-27 15:14:21.996,2895.0
2025-07-27 15:14:21.997,2965.0
2025-07-27 15:14:21.997,3010.0
2025-07-27 15:14:21.998,2965.0
2025-07-27 15:14:22.029,2785.0
2025-07-27 15:14:22.030,2900.0
2025-07-27 15:14:22.031,3100.0
2025-07-27 15:14:22.031,3020.0
2025-07-27 15:14:22.032,2880.0
2025-07-27 15:14:22.032,3000.0
2025-07-27 15:14:22.063,2980.0
2025-07-27 15:14:22.064,2905.0
2025-07-27 15:14:22.064,2770.0
2025-07-27 15:14:22.065,2820.0
2025-07-27 15:14:22.066,3070.0
2025-07-27 15:14:22.097,3110.0
2025-07-27 15:14:22.097,2795.0
2025-07-27 15:14:22.098,2810.0
2025-07-27 15:14:22.099,3005.0
2025-07-27 15:14:22.100,3150.0
2025-07-27 15:14:22.130,2940.0
2025-07-27 15:14:22.133,2965.0
2025-07-27 15:14:22.133,2945.0
2025-07-27 15:14:22.134,2920.0
2025-07-27 15:14:22.134,2795.0
2025-07-27 15:14:22.135,2715.0
2025-07-27 15:14:22.165,3050.0
2025-07-27 15:14:22.166,3055.0
2025-07-27 15:14:22.167,2850.0
2025-07-27 15:14:22.167,3015.0
2025-07-27 15:14:22.168,2990.0
2025-07-27 15:14:22.199,3005.0
2025-07-27 15:14:22.201,2740.0
2025-07-27 15:14:22.201,2795.0
2025-07-27 15:14:22.202,3045.0
2025-07-27 15:14:22.203,3160.0
2025-07-27 15:14:22.233,2930.0
2025-07-27 15:14:22.235,2945.0
2025-07-27 15:14:22.235,2950.0
2025-07-27 15:14:22.236,2900.0
2025-07-27 15:14:22.236,2800.0
2025-07-27 15:14:22.237,3080.0
2025-07-27 15:14:22.267,3095.0
2025-07-27 15:14:22.268,2955.0
2025-07-27 15:14:22.269,2760.0
2025-07-27 15:14:22.270,2980.0
2025-07-27 15:14:22.270,3015.0
2025-07-27 15:14:22.356,3040.0
2025-07-27 15:14:22.356,2770.0
2025-07-27 15:14:22.356,2775.0
2025-07-27 15:14:22.358,2960.0
